rosbag record -o high /vis/odom_pose /vis/traj_path /vis/traj_pose /vis/odom_pose
t,x,y,z,vx,vy,vz,ax,ay,az,yaw,yaw_rate,qw,qx,qy,qz
1.3700,0.316063,0.302298,1.500000,0.486709,0.466373,0.000000,0.182167,0.177516,0.000000,0.764064,0.003170,0.927909,0.000000,0.000000,0.372807
1.3800,0.320939,0.306971,1.500000,0.488492,0.468112,0.000000,0.174504,0.170237,0.000000,0.764096,0.003215,0.927903,0.000000,0.000000,0.372822
1.3900,0.325832,0.311660,1.500000,0.490199,0.469778,0.000000,0.166788,0.162906,0.000000,0.764129,0.003262,0.927897,0.000000,0.000000,0.372837
1.4000,0.330742,0.316366,1.500000,0.491828,0.471370,0.000000,0.159019,0.155527,0.000000,0.764162,0.003309,0.927891,0.000000,0.000000,0.372852
1.4100,0.335669,0.321087,1.500000,0.493379,0.472888,0.000000,0.151202,0.148100,0.000000,0.764195,0.003357,0.927885,0.000000,0.000000,0.372867
1.4200,0.340610,0.325824,1.500000,0.494852,0.474332,0.000000,0.143335,0.140626,0.000000,0.764229,0.003406,0.927878,0.000000,0.000000,0.372883
1.4300,0.345565,0.330574,1.500000,0.496246,0.475700,0.000000,0.135423,0.133108,0.000000,0.764263,0.003457,0.927872,0.000000,0.000000,0.372899
1.4400,0.350534,0.335337,1.500000,0.497560,0.476994,0.000000,0.127465,0.125546,0.000000,0.764298,0.003508,0.927865,0.000000,0.000000,0.372915
1.4500,0.355516,0.340113,1.500000,0.498795,0.478211,0.000000,0.119464,0.117943,0.000000,0.764333,0.003561,0.927859,0.000000,0.000000,0.372932
1.4600,0.360510,0.344901,1.500000,0.499949,0.479352,0.000000,0.111422,0.110300,0.000000,0.764369,0.003615,0.927852,0.000000,0.000000,0.372948
1.4700,0.365515,0.349700,1.500000,0.501023,0.480417,0.000000,0.103340,0.102619,0.000000,0.764406,0.003670,0.927845,0.000000,0.000000,0.372965
1.4800,0.370530,0.354509,1.500000,0.502016,0.481405,0.000000,0.095220,0.094901,0.000000,0.764442,0.003726,0.927838,0.000000,0.000000,0.372982
1.4900,0.375555,0.359328,1.500000,0.502927,0.482315,0.000000,0.087063,0.087148,0.000000,0.764480,0.003784,0.927831,0.000000,0.000000,0.373000
1.5000,0.380588,0.364155,1.500000,0.503757,0.483147,0.000000,0.078871,0.079361,0.000000,0.764518,0.003843,0.927824,0.000000,0.000000,0.373017
1.5100,0.385630,0.368991,1.500000,0.504505,0.483902,0.000000,0.070646,0.071542,0.000000,0.764557,0.003903,0.927817,0.000000,0.000000,0.373035
1.5200,0.390678,0.373833,1.500000,0.505170,0.484578,0.000000,0.062389,0.063692,0.000000,0.764596,0.003965,0.927810,0.000000,0.000000,0.373054
1.5300,0.395733,0.378682,1.500000,0.505752,0.485176,0.000000,0.054103,0.055814,0.000000,0.764636,0.004028,0.927802,0.000000,0.000000,0.373072
1.5400,0.400793,0.383536,1.500000,0.506252,0.485694,0.000000,0.045788,0.047908,0.000000,0.764677,0.004093,0.927795,0.000000,0.000000,0.373091
1.5500,0.405858,0.388396,1.500000,0.506668,0.486134,0.000000,0.037447,0.039977,0.000000,0.764718,0.004160,0.927787,0.000000,0.000000,0.373110
1.5600,0.410926,0.393259,1.500000,0.507001,0.486494,0.000000,0.029081,0.032022,0.000000,0.764760,0.004228,0.927779,0.000000,0.000000,0.373130
1.5700,0.415997,0.398125,1.500000,0.507249,0.486774,0.000000,0.020691,0.024044,0.000000,0.764803,0.004297,0.927771,0.000000,0.000000,0.373149
1.5800,0.421071,0.402994,1.500000,0.507414,0.486975,0.000000,0.012280,0.016044,0.000000,0.764846,0.004369,0.927763,0.000000,0.000000,0.373170
1.5900,0.426145,0.407865,1.500000,0.507495,0.487095,0.000000,0.003850,0.008026,0.000000,0.764890,0.004442,0.927755,0.000000,0.000000,0.373190
1.6000,0.431220,0.412736,1.500000,0.507491,0.487135,0.000000,-0.004599,-0.000010,0.000000,0.764935,0.004517,0.927747,0.000000,0.000000,0.373211
1.6100,0.436295,0.417607,1.500000,0.507403,0.487095,0.000000,-0.013065,-0.008063,0.000000,0.764980,0.004594,0.927738,0.000000,0.000000,0.373232
1.6200,0.441368,0.422477,1.500000,0.507230,0.486974,0.000000,-0.021546,-0.016130,0.000000,0.765027,0.004673,0.927729,0.000000,0.000000,0.373253
1.6300,0.446439,0.427346,1.500000,0.506972,0.486772,0.000000,-0.030039,-0.024210,0.000000,0.765074,0.004754,0.927721,0.000000,0.000000,0.373275
1.6400,0.451507,0.432213,1.500000,0.506629,0.486490,0.000000,-0.038545,-0.032302,0.000000,0.765122,0.004838,0.927712,0.000000,0.000000,0.373297
1.6500,0.456572,0.437076,1.500000,0.506201,0.486126,0.000000,-0.047060,-0.040403,0.000000,0.765171,0.004923,0.927703,0.000000,0.000000,0.373320
1.6600,0.461631,0.441935,1.500000,0.505688,0.485681,0.000000,-0.055583,-0.048513,0.000000,0.765220,0.005011,0.927693,0.000000,0.000000,0.373343
